Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
k119_188_1	CBW15361.1|CE11|	99.0	210	2	0	1	210	96	305	2.0e-118	428.3
k119_373_1	BAI65433.1|GT25|	96.4	222	8	0	1	222	87	308	6.7e-125	449.9
k119_377_1	QEN10845.1|GT4|	100.0	209	0	0	1	209	67	275	2.6e-115	417.9
k119_384_1	QEN10478.1|GT35|	98.9	269	3	0	1	269	552	820	2.6e-147	524.6
k119_1519_1	CKG96529.1|GT5|	95.6	225	10	0	1	225	96	320	5.7e-124	446.8
k119_1558_1	QKI22877.1|CE11|	99.0	304	3	0	1	304	1	304	4.5e-172	607.1
k119_1930_1	QKI22018.1|GH13_4|	100.0	224	0	0	1	224	108	331	6.1e-134	479.9
k119_2082_1	QKI22163.1|GT2|	98.8	346	4	0	1	346	28	373	1.5e-195	685.3
k119_2124_1	ASE18154.1|GH2|	97.9	194	4	0	1	194	310	503	8.7e-105	382.9
k119_2347_1	ADK96032.1|GT32|	100.0	198	0	0	1	198	24	221	1.1e-113	412.5
k119_2377_1	ANR72410.1|CBM72|GH16|	100.0	290	0	0	1	290	1	290	7.8e-174	612.8
k119_2658_1	QAT95246.1|CBM48|GH13_9|	98.7	225	3	0	1	225	454	678	3.6e-134	480.7
k119_2759_2	QKI21633.1|GT35|	100.0	201	0	0	1	201	1	201	8.2e-114	412.9
k119_2937_1	CBA03971.1|GT30|	90.6	244	23	0	1	244	1	244	1.6e-127	458.8
k119_3008_1	QKI21632.1|CBM48|GH13_11|	98.2	222	4	0	1	222	49	270	4.5e-129	463.8
k119_3091_1	ASE16680.1|GH84|	99.5	210	1	0	1	210	561	770	4.7e-120	433.7
k119_3113_1	ASE18703.1|GT51|	99.6	262	1	0	1	262	117	378	3.2e-150	534.3
k119_3138_1	CBW15655.1|GT5|	99.5	214	1	0	2	215	1	214	2.6e-126	454.5
k119_3213_1	QKI22991.1|GT2|	98.9	473	5	0	1	473	379	851	2.6e-280	967.2
k119_3390_1	CBW15856.1|GT2|	97.7	258	6	0	1	258	36	293	1.5e-139	498.8
k119_3464_1	CBW15653.1|CBM48|GH13_11|	95.9	222	9	0	1	222	113	334	5.3e-130	466.8
k119_3528_1	QKI21846.1|GH66|	99.0	210	2	0	1	210	246	455	7.2e-121	436.4
k119_3939_1	ALQ42622.1|GT51|	97.2	248	7	0	2	249	148	395	2.8e-132	474.6
k119_4312_1	AVR79455.1|GH65|	99.4	313	2	0	1	313	232	544	2.8e-185	651.0
k119_4751_1	ANR73904.1|GH20|	99.5	190	1	0	1	190	29	218	2.8e-108	394.4
k119_4802_1	ANS88621.1|GH23|	100.0	201	0	0	1	201	398	598	1.2e-109	399.1
k119_4853_1	ADK97209.1|GH2|	98.5	266	4	0	1	266	312	577	9.0e-153	542.7
k119_4940_1	QKI21633.1|GT35|	100.0	188	0	0	1	188	426	613	1.4e-104	382.1
k119_5127_1	QKI23203.1|GT2|	97.6	206	5	0	1	206	1	206	5.8e-115	416.8
k119_5461_1	QCL71863.1|GT4|	98.9	265	3	0	1	265	1	265	2.2e-151	538.1
k119_5800_1	BAH97196.1|GH66|	96.8	249	8	0	1	249	686	934	4.1e-139	497.3
k119_6426_1	QKH88119.1|GT2|	97.2	216	6	0	1	216	66	281	6.7e-122	439.9
k119_6524_1	ADK96470.1|GT30|	98.5	203	3	0	1	203	142	344	1.4e-113	412.1
k119_6528_1	CBW15993.1|GT35|	98.6	218	3	0	1	218	71	288	1.7e-120	435.3
k119_6687_1	QKI22317.1|CBM50|	98.0	204	4	0	1	204	31	234	1.5e-107	392.1
k119_6722_1	QKI21631.1|CBM48|GH13_9|GH77|	99.2	239	2	0	1	239	672	910	1.8e-136	488.4
k119_7170_1	CAN65674.1|GH28|	47.0	417	214	5	9	420	109	523	4.5e-106	388.3
k119_7460_1	QKI23308.1|GT51|	99.5	205	1	0	1	205	197	401	2.0e-107	391.7
