ID	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members
mix_all.2	86.57505764739355	85.57	0.22	100.0	2030996	5890	2
s_ERR011349.1	74.51366568136028	74.07	0.34	0.0	1266722	19379	2
mix_all.8	43.293460566032884	53.67	2.67	50.0	1331228	1892	1
mix_all.9	51.12623879683389	60.19	2.38	50.0	1519794	1961	1
s_ERR011348.2	97.88723778390194	99.11	0.67	0.0	2044830	17967	3
mix_all.6	73.74557542187483	75.17	0.73	50.0	2932691	5262	2
mix_all.10	40.103268739563454	54.42	3.33	21.43	1090128	1735	1
mix_all.4	49.83372202351667	58.71	2.43	66.67	1228061	2029	1
mix_all.5	57.922352949106376	68.33	2.68	50.0	1150209	2017	1
mix_all.7	92.33394276242433	94.49	0.8	0.0	1482666	4874	1
